frame,obj_id,conf,x1,y1,x2,y2
19,0,0.5406844615936279,3,429,127,570
31,0,0.5386249423027039,158,497,356,639
46,0,0.6102937459945679,189,471,360,639
47,0,0.637278139591217,194,473,359,639
51,0,0.5136535167694092,5,413,285,639
58,0,0.5701613426208496,226,453,360,639
59,0,0.683679461479187,3,390,314,638
59,1,0.6517409086227417,227,470,360,640
60,0,0.602035403251648,228,474,360,640
61,0,0.5458530187606812,232,484,360,639
62,0,0.6333490610122681,237,484,360,639
63,0,0.6895169019699097,239,488,360,640
63,1,0.6305025219917297,10,385,322,638
64,0,0.5492406487464905,244,498,360,640
65,0,0.6553111672401428,20,380,337,638
65,1,0.5683912634849548,245,496,360,640
66,0,0.5761362910270691,18,367,345,639
67,0,0.6129462122917175,23,380,338,638
69,0,0.7595367431640625,20,370,342,639
70,0,0.5659505128860474,17,359,347,639
71,0,0.6381893157958984,20,367,356,638
73,0,0.5054820775985718,12,369,355,639
74,0,0.5403577089309692,18,377,357,639
76,0,0.5197799205780029,0,375,82,638
78,0,0.6977584362030029,43,362,360,638
79,0,0.6762022972106934,59,370,359,638
81,0,0.6181754469871521,1,357,100,639
85,0,0.5965088605880737,15,365,351,640
87,0,0.5015474557876587,10,364,360,640
94,0,0.5550795197486877,15,373,359,639
96,0,0.5204071998596191,1,435,86,508
97,0,0.5980097651481628,17,366,360,639
97,1,0.5386788845062256,1,425,87,509
98,0,0.5012488961219788,2,439,89,506
99,0,0.5456875562667847,5,359,360,640
99,1,0.5292614102363586,1,411,89,504
100,0,0.5108192563056946,2,411,87,496
101,0,0.6576098203659058,18,366,360,640
102,0,0.5570940971374512,11,431,103,502
105,0,0.5144070982933044,17,428,114,498
106,0,0.5462455153465271,20,363,360,639
107,0,0.5198774337768555,17,366,360,631
108,0,0.5391859412193298,30,426,121,496
112,0,0.5135723948478699,44,425,135,491
114,0,0.5726895332336426,47,422,140,491
116,0,0.5489147901535034,97,484,156,566
116,1,0.5214341282844543,53,422,148,489
117,0,0.5678918957710266,59,424,151,487
118,0,0.6034254431724548,61,424,152,487
119,0,0.5410685539245605,65,424,156,486
120,0,0.5546250343322754,66,417,160,484
122,0,0.5658815503120422,74,426,166,484
123,0,0.5393175482749939,78,427,168,483
124,0,0.5671428442001343,115,470,176,568
124,1,0.5456191301345825,79,425,169,482
125,0,0.5635913610458374,81,425,174,480
127,0,0.5317023992538452,116,472,188,562
127,1,0.530761182308197,87,414,182,479
128,0,0.6173809170722961,126,475,188,562
128,1,0.5626055002212524,94,426,184,479
129,0,0.5456830859184265,94,421,186,478
130,0,0.5662072896957397,97,421,192,477
133,0,0.5105886459350586,110,426,201,474
134,0,0.502262532711029,110,422,204,474
135,0,0.5330631136894226,113,413,205,473
139,0,0.5034527778625488,125,423,222,470
142,0,0.5063636302947998,136,416,233,469
142,1,0.505244791507721,3,341,360,640
169,0,0.5201120376586914,115,530,285,639
179,0,0.5208340883255005,150,551,313,639
180,0,0.5056055188179016,149,536,301,638
180,1,0.5014055967330933,1,477,129,559
181,0,0.5315609574317932,0,531,140,636
182,0,0.5382115244865417,0,533,141,631
183,0,0.5307251811027527,0,531,143,630
189,0,0.5271232724189758,4,576,159,639
191,0,0.5885283946990967,303,420,360,471
192,0,0.6397625803947449,307,419,360,473
193,0,0.6237742900848389,310,419,360,474
197,0,0.5160883665084839,1,352,61,437
198,0,0.747639000415802,328,417,360,479
199,0,0.668981671333313,333,419,359,480
199,1,0.5104137063026428,58,457,189,556
200,0,0.6637283563613892,336,421,360,489
201,0,0.6949666738510132,339,422,360,484
201,1,0.5408810973167419,39,572,193,639
201,2,0.5012333393096924,53,502,187,560
202,0,0.6930588483810425,343,422,360,482
202,1,0.5601111054420471,0,416,32,462
202,2,0.5200334191322327,1,352,79,433
203,0,0.5592672228813171,0,403,39,461
204,0,0.6004053950309753,48,582,204,639
204,1,0.5516051650047302,229,578,355,639
205,0,0.5317854881286621,51,585,207,639
205,1,0.509084165096283,2,398,48,459
206,0,0.5592485070228577,2,384,54,458
207,0,0.6452783346176147,0,385,58,457
208,0,0.7415801286697388,0,392,64,456
208,1,0.5486177802085876,63,582,212,639
208,2,0.5215855240821838,1,229,61,275
209,0,0.6821048855781555,1,381,70,454
209,1,0.657663106918335,67,579,221,639
209,2,0.6551709175109863,0,230,63,274
209,3,0.5685468912124634,10,336,107,428
209,4,0.5049752593040466,242,568,359,639
210,0,0.6554794311523438,69,580,222,639
210,1,0.6341148018836975,1,230,69,274
210,2,0.5539926886558533,11,335,111,427
211,0,0.7074736952781677,2,229,74,274
211,1,0.5946412086486816,71,582,224,639
211,2,0.5466599464416504,3,389,79,452
212,0,0.7806390523910522,0,228,77,273
212,1,0.5854995846748352,2,390,84,452
212,2,0.5354686379432678,82,529,216,592
212,3,0.5281243324279785,78,585,220,639
213,0,0.7414199709892273,1,227,81,273
213,1,0.5506347417831421,79,583,227,639
213,2,0.5427879691123962,1,379,89,451
